"id","product_id","designer","seller_id","sku","name","hsn_code","material","color","no_of_components","barcode","short_description","description","tags","gender","occasions","mrp","categories","product_url","created_at","updated_at"
744,5468,Ete,83,ete0093,Alessia Shirt,"6204",Satin Chevron,BEIGE,"2","ete0093, ete0093xxsmulticolor, ete0093xsmulticolor, ete0093smulticolor, ete0093mmulticolor, ete0093lmulticolor, ete0093xlmulticolor, ete0093xxlmulticolor, ete0093xxxlmulticolor",<p>Satin chevron beige shirt finished with a wrap around neck tie.</p>,"<p>Satin chevron beige shirt finished with a wrap around neck tie</p>
<ul>
<li>Easy Fit</li>
<li>Model is wearing extra small</li>
<li>Model is 5'8</li>
<li>Model is wearing 2 inch heels</li>
</ul>","beige satin shirt, sleeveless satin top, wrap neck blouse, cowl neck shirt, elegant satin top, partywear satin shirt, beige chevron shirt, dressy sleeveless blouse#AlessiaShirt #SatinGlow #CowlNeckTop #BeigeElegance #WrapAroundStyle #ChicMinimalism #EteClothing #EveningElegance #ModernClassic",,"Cocktail events, dinner parties, business casual, brunch, gallery openings, date nights, festive gatherings, evening soirees",0.00,,https://thechicindian.com/product-details-sku/ete0093,"2025-11-23 11:26:29","2025-11-23 11:26:29"
745,50150,An'era By Asmita Verma,40,anss03,DUSK,"62044290","COTTON SATINCOTTON POPLIN, COTTON SATIN
COTTON POPLIN",BLACK,"3","anss03, anss03xsblack, anss03sblack, anss03mblack, anss03lblack, anss03xlblack, anss03xxlblack, anss03xxxlblack",<p>The three-piece ensemble in colour-blocked black and cream features a gracefully embroidered front-open shrug with delicate tie-up details.</p>,"<p>The three-piece ensemble in color-blocked black and cream features a gracefully embroidered front-open shrug with delicate tie-up details, paired with a chic crop top and sleek straight-fit pants. A wardrobe must-have!</p>","Lace work,partywear dress",Women,Evening partywear,0.00,"Women, Sets, 3-piece",https://thechicindian.com/product-details-sku/anss03,"2025-11-23 11:26:29","2025-11-23 11:26:29"
746,50172,An'era By Asmita Verma,40,anss23,MIRA SKIRT,"62044290","COTTON POPLIN,  COTTON POPLIN",BROWN,"1","anss23, anss23xsbrown, anss23sbrown, anss23mbrown, anss23lbrown, anss23xlbrown, anss23xxlbrown, anss23xxxlbrown",<p>A chic and versatile monochromatic skirt.</p>,<p>A chic and versatile colour-block skirt that elevates any top.&nbsp;</p>,Partywear,Women,Resortwear,0.00,"Women, Bottoms, Resort, Skirts",https://thechicindian.com/product-details-sku/anss23,"2025-11-23 11:26:29","2025-11-23 11:26:29"
747,50187,An'era By Asmita Verma,40,anss13,HORIZON,"62044290","COTTON SATINMODAL SATIN, COTTON SATIN
MODAL SATIN",CREAM,"1","anss13, anss13xscream, anss13scream, anss13mcream, anss13lcream, anss13xlcream, anss13xxlcream, anss13xxxlcream","<p>This floral dress captures the essence of femininity with its classic fit-and-flare silhouette, enhanced by thread-embroidered patches on the waist.</p>","<p>This floral dress captures the essence of femininity with its classic fit-and-flare silhouette, enhanced by thread-embroidered patches on the waist. The intricate embroidery adds an elegant, hand-crafted touch, making it a statement piece for any occasion.</p>","Thread embroidery,flare silhouette",Women,Partywear,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/anss13,"2025-11-23 11:26:29","2025-11-23 11:26:29"
748,50202,An'era By Asmita Verma,40,anss30,AZORA,"62044290",DOBBY,BLUE,"2","anss30, anss30xsblue, anss30sblue, anss30mblue, anss30lblue, anss30xlblue, anss30xxlblue, anss30xxxlblue","<p>A perfect ode to summer, this floral-textured skirt coord set is effortlessly chic and breathable. The sleeveless boxy cropped top offers a modern, structured silhouette.</p>","<p>A perfect ode to summer, this floral-textured coord skirt set is effortlessly chic and breathable. The sleeveless boxy cropped top offers a modern, structured silhouette, while the relaxed skirt with back elastic ensures all-day comfort and ease.</p>",Floral-textured skirt set,Women,Vaction wear,0.00,"Women, Sets, Skirt set",https://thechicindian.com/product-details-sku/anss30,"2025-11-23 11:26:29","2025-11-23 11:26:29"
749,50210,An'era By Asmita Verma,40,anss01,FIORA,"62044390",COTTON SATIN,BROWN,"2","anss01, anss01xsbrown, anss01sbrown, anss01mbrown, anss01lbrown, anss01xlbrown, anss01xxlbrown, anss01xxxlbrown",<p>The exquisite coord set featuring a statement cropped shirt adorned with intricate thread-embroidered patchwork and delicate cutwork detailing.</p>,"<p>The exquisite coord set featuring a statement cropped shirt adorned with intricate thread-embroidered patchwork and delicate cutwork detailing. Designed for a dressy yet effortless look, the shirt pairs beautifully with relaxed-fit brown pants, offering a perfect blend of natural beauty and ease.</p>",Thread-embroidered patchwork and delicate cutwork detailing,Women,Dinner party,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss01,"2025-11-23 11:26:29","2025-11-23 11:26:29"
750,50225,An'era By Asmita Verma,40,anss20,ALINA,"62044390",COTTON SATIN,BROWN,"2","anss20, anss20xsbrown, anss20sbrown, anss20mbrown, anss20lbrown, anss20xlbrown, anss20xxlbrown, anss20xxxlbrown",<p>A polished coord set with floral embroidery that takes you from day to night.</p>,"<p>This coord set features a front-open buttoned shirt with waist-accentuating bold floral embroidery, a back elastic for a snug yet relaxed fit, and perfectly paired pleat pants for a polished look.</p>","Front - open buttoned shirt,bold floral embroidery",Women,Partywear,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss20,"2025-11-23 11:26:29","2025-11-23 11:26:29"
751,50233,An'era By Asmita Verma,40,anss10,EOS,"62044290","COTTON SATINORGANZA, COTTON SATIN
ORGANZA",CREAM,"2","anss10, anss10xscream, anss10scream, anss10mcream, anss10lcream, anss10xlcream, anss10xxlcream, anss10xxxlcream",<p>Shirt and skirt coord set - a beautiful fusion of delicate detailing.</p>,"<p>This shirt and skirt set is a beautiful fusion of clean lines and delicate details. A solid cropped shirt with an extended collar offers modern style, while the organza skirt with 3D applique flowers creates a soft, textured contrast, elevating the entire ensemble to new heights of feminiity.</p>",Cropped shirt with organza skirt,Women,Partywear,0.00,"Women, Sets, Skirt set",https://thechicindian.com/product-details-sku/anss10,"2025-11-23 11:26:29","2025-11-23 11:26:29"
752,50248,An'era By Asmita Verma,40,anss27,FREESIA,"62044290",MODAL SATIN,CREAM,"2","anss27, anss27xscream, anss27scream, anss27mcream, anss27lcream, anss27xlcream, anss27xxlcream, anss27xxxlcream","<p>A contemporary, elevated blazer set with embossed floral details.</p>","<p>A blend of classic sophistication and contemporary allure, this timeless blazer set is elevated with embossed floral details, exuding refined elegance. The bold collars and scalloped floral hem add a touch of romantic drama, while the blazer is perfectly paired with transparent organza pants featuring a chic short lining inside.</p>",Bold collar blazer paired with organza pants,Women,Evening partywear,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss27,"2025-11-23 11:26:29","2025-11-23 11:26:29"
753,50263,An'era By Asmita Verma,40,anss24,FAWN,"62044390",COTTON SATIN,BROWN,"2","anss24, anss24xsbrown, anss24sbrown, anss24mbrown, anss24lbrown, anss24xlbrown, anss24xxlbrown, anss24xxxlbrown","<p>Power summer laced blazer set, crafted in a soft glazed cotton fabric.</p>","<p>A refined take on power dressing, this summer blazer set is crafted in a soft glazed cotton fabric. Featuring a notched collar and intricate horizontal lace overlay, the blazer strikes the perfect balance between structure and delicacy. Paired with pleated straight-fit pants, this set offers effortless elegance with a breezy summer appeal.</p>","Summer blazer, Paired with pleated straight-fit pants,",Women,Partywear,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss24,"2025-11-23 11:26:29","2025-11-23 11:26:29"
754,50271,An'era By Asmita Verma,40,anss29,RAY,"62044390",COTTON POPLIN,SEAGREEN,"1","anss29, anss29xsseagreen, anss29sseagreen, anss29mseagreen, anss29lseagreen, anss29xlseagreen, anss29xxlseagreen, anss29xxxlseagreen","<p>A dress featuring a beautiful gathered torso, sculpting its wearer's silhouette.</p>","<p>This dress features a beautifully gathered torso, sculpting the silhouette with effortless grace. The flared ruffled hem skirt adds movement and drama, while typographic-detailed pockets bring a bold, artistic touch. Comes with a back zip closure.</p>",Summer dress flared ruffled hem skirt,Women,Resortwear,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/anss29,"2025-11-23 11:26:29","2025-11-23 11:26:29"
755,50279,An'era By Asmita Verma,40,anss02,MYST PANTS,"62044390",COTTON POPLIN,CREAM,"1","anss02, anss02xscream, anss02scream, anss02mcream, anss02lcream, anss02xlcream, anss02xxlcream, anss02xxxlcream",<p>Statement cutwork relaxed pants.</p>,"<p>Statement cutwork relaxed pants for elevating any top, bomber, jacket or blazer. A must-have in one's closet, these classic pants are head-turners.&nbsp;</p>",Comfort fit,Women,Relaxed fit,0.00,"Women, Bottoms, Pants & Trousers",https://thechicindian.com/product-details-sku/anss02,"2025-11-23 11:26:29","2025-11-23 11:26:29"
756,50287,An'era By Asmita Verma,40,anss08,NYSSA SET,"62044290",BANANA CREPE,CREAM,"2","anss08, anss08xscream, anss08scream, anss08mcream, anss08lcream, anss08xlcream, anss08xxlcream, anss08xxxlcream",<p>Tie-up cream top with colour-blocked pants coord set.</p>,"<p>The Nyssa coord set is the epitome of contemporary sophistication. Featuring a top with a beautifully embossed floral hem and a statement waist tie-up, paired with colour-blocked pants that showcase subtle stitchline details.</p>",Seeveless top with embossed floral hem embroidered,Women,Partywear,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss08,"2025-11-23 11:26:29","2025-11-23 11:26:29"
757,50295,An'era By Asmita Verma,40,anss09,AURELIA,"62044390","COTTON SATINMODAL SATIN, COTTON SATIN
MODAL SATIN",BURNT ORANGE,"2","anss09, anss09xsburntorange, anss09sburntorange, anss09mburntorange, anss09lburntorange, anss09xlburntorange, anss09xxlburntorange, anss09xxxlburntorange",<p>An asymmetric cropped top paired with a lustrous satin skirt coord set.</p>,"<p>This dressy coord set features an embroidered asymmetric cropped top with a sleek back zip closure, exuding modern sophistication. Paired with a lustrous satin skirt, adorned with a statement floral waist and a fringed hem, this ensemble is the perfect blend of structure and fluidity.</p>","Asymmetric cropped top Paired with a lustrous satin skirt,",Women,Partywear,0.00,"Women, Sets, Skirt set",https://thechicindian.com/product-details-sku/anss09,"2025-11-23 11:26:29","2025-11-23 11:26:29"
758,50310,An'era By Asmita Verma,40,anss22,DALIA,"62044390",COTTON POPLIN,SEEDPEARL,"1","anss22, anss22xsseedpearl, anss22sseedpearl, anss22mseedpearl, anss22lseedpearl, anss22xlseedpearl, anss22xxlseedpearl, anss22xxxlseedpearl",<p>A delicate and romantic midi dress with pearl motifs.</p>,"<p>This v-neck dress is adorned with intricate 3D thread floral motifs that bring texture and depth. Typographic details around the neckline and shoulder ends add a sharp, contemporary touch.</p>",V-neck dress with 3d thread motifs,Women,Resortwear,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/anss22,"2025-11-23 11:26:29","2025-11-23 11:26:29"
759,50325,An'era By Asmita Verma,40,anss28,Elle,"62044290","Cotton Poplin, COTTON POPLIN",BURNT ORANGE,"2","anss28, anss28xsburntorange, anss28sburntorange, anss28mburntorange, anss28lburntorange, anss28xlburntorange, anss28xxlburntorange, anss28xxxlburntorange","<p>A sophisticated, structured co-ord set designed for effortless movement.</p>","<p>Elle is a sophisticated coord set designed for effortless elegance. The top features inverted box pleats, subtly cinching the waist for a structured yet feminine silhouette, while knot metal buttons add a touch of understated luxe. Paired with monotone relaxed-fit pants, this set is the perfect blend of tailored precision and everyday ease.</p>",Sleeveless top with inverted box pleats,Women,Vaction wear,0.00,"Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/anss28,"2025-11-23 11:26:29","2025-11-23 11:26:29"
760,50333,An'era By Asmita Verma,40,anss12,CAMELIA,"62044390","COTTON SATINCOTTON POPLIN, COTTON SATIN
COTTON POPLIN",CREAM,"1","anss12, anss12xscream, anss12scream, anss12mcream, anss12lcream, anss12xlcream, anss12xxlcream, anss12xxxlcream",<p>Stylish colour-block dress featuring waist-accentuated ruching.</p>,"<p>Designed for both style and comfort, this color-block dress features waist-accentuated ruching and a back waist elastic that provides a relaxed yet perfectly snug fit.</p>",Color block dress,Women,Partywear,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/anss12,"2025-11-23 11:26:29","2025-11-23 11:26:29"
761,100803,Anushé Pirani,87,fi24w01,Wrap & Tie Top,"61061000","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
",PINK,"1","fi24w01, fi24w01xspink, fi24w01spink, fi24w01mpink, fi24w01lpink, fi24w01xlpink, fi24w012xlpink",<p>WRAP &amp; TIE TOP - Offers an adjustable fit for a flattering silhouette</p>,"<p>The perfect blend of elegance and ease. This versatile piece features a flattering wrap design that cinches at the waist, allowing you to adjust the fit to your liking. The tie detail adds a playful touch. Pair it with our Swing &amp; Sway Skirt for a refined look.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Plunge V neck</li>
<li>Cropped length</li>
<li>Bell sleeves</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;Handwoven Cotton Ikat</p>
<ul>
<li>&nbsp;100% cotton</li>
<li>&nbsp;Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft, wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Regular</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Tops, Blouses",https://thechicindian.com/product-details-sku/fi24w01,"2025-11-23 11:26:29","2025-11-23 11:26:29"
762,100807,Anushé Pirani,87,fi24w02,Fit & Flare Corset,"61061000","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India- 100% cotton lining, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
- 100% cotton lining",ROYAL BLUE,"1","fi24w02, fi24w02xsroyalblue, fi24w02sroyalblue, fi24w02mroyalblue, fi24w02lroyalblue, fi24w02xlroyalblue, fi24w022xlroyalblue",<p>FIT &amp; FLARE CORSET - Shaped to highlight your curves</p>,"<p>With a sculpted bodice that cinches the waist, this piece enhances your silhouette while offering a comfortable fit. The fitted top flows into a playful, flared hem, creating a beautiful contrast between form and movement. Pair it with our Kick &amp; Flair Pants for a complete look.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Padded &amp; lined cups</li>
<li>Tie-up straps</li>
<li>Back conceal zipper</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;</p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>100% cotton lining</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Slim</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Tops, Corset",https://thechicindian.com/product-details-sku/fi24w02,"2025-11-23 11:26:29","2025-11-23 11:26:29"
763,100809,Anushé Pirani,87,fi24w03,Free Flow Tunic,"61061000","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
",PINK,"1","fi24w03, fi24w03xspink, fi24w03spink, fi24w03mpink, fi24w03lpink, fi24w03xlpink, fi24w032xlpink",<p>FREE FLOW TUNIC - Loose and comfortable for easy movement</p>,"<p>Designed with a relaxed, sleeveless silhouette, this tunic falls beautifully, allowing for freedom of movement while maintaining a sleek, polished look. Its clean lines and airy fabric make it perfect for layering or wearing on its own.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>High round neck</li>
<li>Back loop button</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;Handwoven Cotton Ikat</p>
<ul>
<li>100% cotton</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Regular</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Traditional Wear, Tunics & Kurtis",https://thechicindian.com/product-details-sku/fi24w03,"2025-11-23 11:26:29","2025-11-23 11:26:29"
764,100811,Anushé Pirani,87,fi24w04,All Things Oversize Shirt,"61061000","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
",WHITE,"1","fi24w04, fi24w04xswhite, fi24w04swhite, fi24w04mwhite, fi24w04lwhite, fi24w04xlwhite, fi24w042xlwhite","<p>ALL THINGS OVERSIZE SHIRT - Big, cozy, and effortlessly cool</p>","<p>The All Things Oversized Shirt is all about relaxed comfort with a dash of cool. Featuring a gathered neck, drop shoulders, a half placket, and big patch pockets, this roomy silhouette offers effortless style.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>Slip-on style</li>
<li>Dual sizing</li>
<li>Patch pockets</li>
</ul>
</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;</p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS-S</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Oversized</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Tops, Shirt",https://thechicindian.com/product-details-sku/fi24w04,"2025-11-23 11:26:29","2025-11-23 11:26:29"
765,100815,Anushé Pirani,87,fi24w05,Boxy Breeze Shirt,"61061000","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
",ROYAL BLUE,"1","fi24w05, fi24w05xsroyalblue, fi24w05sroyalblue, fi24w05mroyalblue, fi24w05lroyalblue, fi24w05xlroyalblue, fi24w052xlroyalblue",<p>BOXY BREEZE SHIRT - Relaxed fit with airy fabric.</p>,"<p>The Boxy Breeze Shirt combines relaxed charm with modern simplicity. With a camp collar, boxy fit, and a high-low hem, it&rsquo;s a breezy essential for easy, everyday style. Pair it with our Swing &amp; Sway Skirt for an edgy look.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Camp collar</li>
<li>Button-down</li>
<li>Patch pocket</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;</p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Relaxed</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Tops, Shirt",https://thechicindian.com/product-details-sku/fi24w05,"2025-11-23 11:26:29","2025-11-23 11:26:29"
766,100817,Anushé Pirani,87,fi24w07,Laid-Back Bomber,"61043200","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India- 100% cotton lining, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
- 100% cotton lining",GREY,"1","fi24w07, fi24w07xsgrey, fi24w07sgrey, fi24w07mgrey, fi24w07lgrey, fi24w07xlgrey, fi24w072xlgrey",<p>LAID-BACK BOMBER - Casual style with a comfortable fit</p>,"<p>The Laidback Bomber offers the perfect blend of comfort and cool. With its drop shoulders, relaxed fit, and minimal detailing, it&rsquo;s designed for effortless layering. Ideal for adding a touch of ease to any outfit.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Zip-up style</li>
<li>Elasticated cuffs &amp; bottom</li>
<li>Lined completely</li>
<li>Welt pockets</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;</p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>100% cotton lining</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Relaxed</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Outerwear, Jackets & Blazers",https://thechicindian.com/product-details-sku/fi24w07,"2025-11-23 11:26:30","2025-11-23 11:26:30"
767,100819,Anushé Pirani,87,fi24w08,Wrap & Tie Blazer,"61043200","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India- 100% cotton lining, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
- 100% cotton lining",WHITE,"1","fi24w08, fi24w08xswhite, fi24w08swhite, fi24w08mwhite, fi24w08lwhite, fi24w08xlwhite, fi24w082xlwhite",<p>WRAP &amp; TIE BLAZER - A stylish blazer you can wrap your way</p>,"<p>The Wrap &amp; Tie Blazer brings a modern twist to classic tailoring. Featuring a wrap-front design and adjustable tie closure, it offers a flattering fit with effortless elegance. Perfect for power dressing or laid-back chic, this blazer makes a statement wherever you go.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Tie-up closure</li>
<li>Lined completely</li>
<li>Flap welt pockets</li>
</ul>
<p><strong>Fabric Details:</strong>&nbsp;</p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>100% cotton lining</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Regular</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Outerwear, Jackets & Blazers",https://thechicindian.com/product-details-sku/fi24w08,"2025-11-23 11:26:30","2025-11-23 11:26:30"
768,100825,Anushé Pirani,87,fi24w12,Hakuna Matata Dress,"61044200","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India- 100% cotton lining, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
- 100% cotton lining",PINK,"1","fi24w12, fi24w12xspink, fi24w12spink, fi24w12mpink, fi24w12lpink, fi24w12xlpink, fi24w122xlpink",<p>HAKUNA MATATA DRESS - Light and airy with a halter neck for an effortless look</p>,"<p>The Hakuna Matata Dress blends playful elegance with a carefree spirit. Featuring a halter neck and a flary bottom, it&rsquo;s perfect for sun-kissed days and breezy evenings.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Back conceal zipper</li>
<li>Elasticated halter neck</li>
<li>Lined yoke</li>
<li>Side pockets</li>
</ul>
<p><strong>Fabric Details:</strong></p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>100% cotton lining</li>
<li>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Regular</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/fi24w12,"2025-11-23 11:26:30","2025-11-23 11:26:30"
769,100827,Anushé Pirani,87,fi24w13,One Shoulder Tier Maxi,"61044200","Handwoven Cotton Ikat                                                        - 100% cotton- Handmade in India- 100% cotton lining, Handwoven Cotton Ikat                                                        
- 100% cotton
- Handmade in India
- 100% cotton lining",PINK,"1","fi24w13, fi24w13xspink, fi24w13spink, fi24w13mpink, fi24w13lpink, fi24w13xlpink, fi24w132xlpink","<p>ONE SHOULDER TIER MAXI - Elegant, with one shoulder and flowing tiers</p>","<p>The One Shoulder Tier Maxi exudes effortless elegance with a touch of drama. Featuring a sleek one-shoulder design and voluminous tiers, it flows beautifully with every step.</p>
<p><strong>Product Details:</strong></p>
<ul>
<li>Side conceal zipper</li>
<li>Lined yoke</li>
<li>Side pockets</li>
</ul>
<p><strong>Fabric Details:</strong></p>
<ul>
<li>Handwoven Cotton Ikat</li>
<li>100% cotton</li>
<li>100% cotton lining<br>Handmade in India</li>
</ul>
<p><strong>Size &amp; Fit:</strong></p>
<ul>
<li>Model Uujasna is 5.8 ft., wearing size XS</li>
<li>Her body measurements: Chest - 33&rdquo;, Waist - 27.5&rdquo;, Hip - 37&rdquo;</li>
<li>Fit: Regular</li>
</ul>","Handwoven Cotton, Ikat, womenswear",Women,BridesmaidWeddingSangeetMehendiEngagementHaldiReceptionCasual OutingsBrunchWorkwearTravelResort WearLounge WearCocktailSundownerNight WearRed CarpetDinner DateClubbing AnniversaryBaby ShowerBirthdayGraduationHousewarmingFarewell,0.00,"Women, Dresses",https://thechicindian.com/product-details-sku/fi24w13,"2025-11-23 11:26:30","2025-11-23 11:26:30"
